no,no_induk,no_barcode,no_rfid,media,judul_utama,deskripsi,tajuk_pengarang,edisi,penerbit,tahun_terbit,jumlah_halaman,isbn,no_ddc,nomor_panggil_katalog,kategori,bahasa,subjek_topik
20,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Sistem akuntansi    penyusunan prosedur dan metode  ,Panduan menyusun prosedur dan metode dalam sistem akuntansi.," Baridwan,Zaki",4,"BPFE, ",2002,100,"9,78007E+29",657,657,Accounting/Akuntansi,indonesia,akuntansi
21,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Akuntansi  ,"Buku umum mengenai akuntansi, berisi konsep, prosedur, dan contoh kasus.","Simamora, Henry",4,"Salemba Empat, ",2002,100,"9,78007E+30",657,657,Accounting/Akuntansi,indonesia,akuntansi
22,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Concepts & applications accounting  ,Membahas konsep akuntansi beserta aplikasinya dalam dunia bisnis.," Albrecht, W. Steve",4,"Thomson, ",2005,100,"9,78007E+31",657,657,Accounting/Akuntansi,inggris,akuntansi
23,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Accounting    for business management  ,Mengulas akuntansi manajemen untuk pengambilan keputusan bisnis.,"Fleming,Iain",4,"International Thomson Business Press, ",1998,100,"9,78007E+32",657,657,Accounting/Akuntansi,inggris,bisnis
24,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Fundamental accounting principles, ",Edisi ke-17 buku klasik tentang prinsip dasar akuntansi.,"\Larson,  aKermit D.",4,"McGraw-Hill / Irwin, ",2005,100,"9,78007E+33",657,657,Accounting/Akuntansi,inggris,accounting
25,3.6221E+13,3.6221E+13,3.6221E+13,Buku,The theory of constraints and throughput accounting  ,Buku yang menggabungkan teori kendala (TOC) dengan akuntansi throughput.,"Swain,Monte",3,"McGraw-Hill, ",1999,100,"9,78007E+34",657,657,Accounting/Akuntansi,inggris,manajemen akuntansi
26,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Accounting    theory and practice  ,Membahas teori akuntansi beserta penerapan praktis dalam berbagai situasi.,"Glautier, M.W.E.",3,"Prentice Hall, ",2001,100,"9,78007E+35",657,657,Accounting/Akuntansi,inggris,akuntansi
27,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Fundamental accounting principles,  ",Edisi ke-16 dari buku prinsip dasar akuntansi.,"Larson,  Kermit D.",3,"McGraw-Hill / Irwin, ",2002,200,"9,78007E+36",657,657,Accounting/Akuntansi,inggris,acco nting
28,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Jurnal bisnis dan akuntansi,Jurnal ilmiah yang berisi artikel penelitian di bidang bisnis dan akuntansi.,Editor ; Arya Pradipa,3,"STIE-Trisakti , ",2006,200,"9,78007E+37",657,657,Accounting/Akuntansi,inggris,akuntansi
29,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Accounting Theory  ,Buku yang membahas teori-teori akuntansi secara mendalam.,"Riahi, Ahmed",3,"Salemba Empat, ",2011,200,"9,78007E+38",657,657,Accounting/Akuntansi,Indonesia,akuntansi
30,3.6221E+13,3.6221E+13,3.6221E+13,Buku,International and multinational accounting  ,Fokus pada akuntansi internasional dan perusahaan multinasional.,"Belkaoui, Ahmed Riahi",3,"The Dryden Press, ",1994,200,"9,78007E+39",657,657,Accounting/Akuntansi,inggris,akuntansi
31,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Akuntansi internasional,Buku edisi pertama yang membahas akuntansi internasional.,"Suwardi,Eko",3,"BPFE, ",2000,200,"9,78007E+40",657,657,Accounting/Akuntansi,indonesia,akuntansi
32,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Accounting ,Buku akuntansi umum (kemungkinan teks standar untuk pendidikan).,"Horngren, Charles T.",3,"Prentice Hall, ",2001,200,"9,78007E+41",657,657,Accounting/Akuntansi,inggris,accounting
33,3.6221E+13,3.6221E+13,3.6221E+13,Buku,International accounting ,Buku populer yang membahas standar akuntansi global.,"Saudagaran,Shahrokh M.",3,"South-Western College Publishing, ",2004,200,"9,78007E+42",657,657,Accounting/Akuntansi,inggris,accounting
34,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Teori akuntansi,  ",Buku teori akuntansi jilid 1 edisi revisi ke-4.,"Hendriksen, Eldon S.",3,"Erlangga, ",1982,200,"9,78007E+43",657,657,Accounting/Akuntansi,indonesia,akuntansi
35,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Accounting and the enterprise   ,Membahas peran akuntansi dalam perusahaan (enterprise).,"Jones, T. Colwyn",3,"Routledge, ",1995,200,"9,78007E+44",657,657,Accounting/Akuntansi,inggris,accounting
36,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Akuntansi Keuangan Lanjutan,Buku akuntansi keuangan lanjutan untuk mahasiswa tingkat lanjut.,Lalu Hendry Yujana,3,Lembaga penerbit FE Univ. Indonesia ,1993,200,"9,78007E+45",657,657,Accounting/Akuntansi,indonesia,akuntansi
37,3.6221E+13,3.6221E+13,3.6221E+13,Buku,International accounting  ,"Buku akuntansi internasional, membahas harmonisasi standar akuntansi global.","Walton,Peter",2,"Thomson, ",2003,200,"9,78007E+46",657,657,Accounting/Akuntansi,ingggris,accounting
38,3.62201E+13,3.62201E+13,3.62201E+13,Buku,Accounting theory  ,Buku teori akuntansi yang membahas kerangka konseptual dan aplikasi.,"Wolk, Harry I.",2,"South-Western, ",1991,200,"9,78007E+47",657,657,Accounting/Akuntansi,ingggris,akuntansi
39,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Teori akuntansi  ,"Buku teori akuntansi berbahasa Indonesia, bahas isu konseptual.","Tuanakotta, Theodorus M.",2,"Fakultas Ekonomi-Universitas Indonesia, ",1984,200,"9,78007E+48",657,657,Accounting/Akuntansi,indonesia,akuntansi
40,3.62201E+13,3.62201E+13,3.62201E+13,Buku,Accounting    the basis for business decisions,Buku akuntansi klasik untuk dasar pengambilan keputusan bisnis.,"Whittington,Ray",2,"The McGraw-Hill Co., Inc. ; ",1996,200,"9,78007E+49",657,657,Accounting/Akuntansi,ingggris,akuntansi
41,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Trik mudah menguasai MYOB accounting ,Panduan praktis software akuntansi MYOB edisi pertama.,"Sudarmanto, R. Gunawan",2,"Graha llmu, ",2005,200,"9,78007E+50",657,657,Accounting/Akuntansi,indonesia,komputer dalam akuntansi
42,3.62201E+13,3.62201E+13,3.62201E+13,Buku,"Financial accounting,  ",Buku akuntansi keuangan edisi ke-8.,"Meigs,  Walter B.",2,"McGraw-Hill, Inc., ",1995,200,"9,78007E+51",657,657,Accounting/Akuntansi,indonesia,akuntansi
43,3.6222E+13,3.6222E+13,3.6222E+13,Buku,"Dasar-dasar akuntansi, ",Buku dasar akuntansi revisi untuk pembelajaran dasar.,"Niswonger, C. Rollin   \epengarang",2,"PT Rineka Cipta, ",1992,200,"9,78007E+52",657,657,Accounting/Akuntansi,indonesia,akuntansi
44,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Teori akuntansi  isu-isu kontemporer  ,Buku teori akuntansi dengan bahasan isu kontemporer dan modern.,Goedono,2,"Andi Offset, ",1990,200,"9,78007E+53",657,657,Accounting/Akuntansi,indonesia,akuntansi
45,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Analisa neraca dan laba-rugi    financial statement analysis,Buku analisis laporan keuangan (balance sheet & income statement).,John N. Myer ; penerjemah : R. Soemita A.K.,2,Tarsito; ,1980,200,"9,78007E+54",657,657,Accounting/Akuntansi,indonesia,digital electronic
46,3.62201E+13,3.62201E+13,3.62201E+13,Buku,"Introduction to financial accounting, ",Buku pengantar akuntansi keuangan edisi ke-6.,"Charles T. Horngren, Gary L. Sundem, John A. Elliott.",2,"Prentice Hall International, Inc. ; ",2002,200,"9,78007E+55",657,657,Accounting/Akuntansi,inggris,akuntansi
47,3.6222E+13,3.6222E+13,3.6222E+13,Buku,"Advanced accounting (akunting tinggi),  ",Buku akuntansi lanjutan (tingkat tinggi) jilid pertama.,"Simons, Harry  \epengarang",2,"Rineka Cipta, ",1992,200,"9,78007E+56",657,657,Accounting/Akuntansi,indonesia,akuntansi
48,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Dasar-dasar akunting  accounting principles,Buku pengantar prinsip-prinsip akuntansi.,"Adikoesoema, R. Soemita",2,"Tarsito, ",1984,200,"9,78007E+57",657,657,Accounting/Akuntansi,indonesia,akuntansi
49,3.6222E+13,3.6222E+13,3.6222E+13,Buku,"Akuntansi aktiva tetap  akuntansi, pajak, revaluasi, leasing  ","Buku akuntansi khusus yang membahas aset tetap, perpajakan, dan leasing.","Harahap, Sofyan Syafri",2,"Raja Grafindo Persada, ",1999,200,"9,78007E+58",657,657,Accounting/Akuntansi,indonesia,akuntansi
50,3.62202E+13,3.62202E+13,3.62202E+13,Buku,Analisa neraca,"Membahas cara membaca, memahami, dan menganalisis laporan neraca perusahaan.",Harry G. Guthmann ;dibahas oleh Winardi,2,"Alumni , ",1978,200,"9,78007E+59",657,657,Accounting/Akuntansi,indonesia,demam tifoid
51,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Azas-azas akunting,",Menjelaskan prinsip dasar akuntansi bagi pemula dengan pendekatan sistematis.,"Pyle, William W.  \epengarang",2,"Tarsito, ",1978,200,"9,78007E+60",657,657,Accounting/Akuntansi,indonesia,akuntansi
52,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Sistem akuntansi,Membahas prosedur pencatatan dan sistem informasi akuntansi dalam organisasi.,Mulyadi,1,"YKPN , ",1989,200,"9,78007E+61",657,657,Accounting/Akuntansi,indonesia,akuntasi
53,3.6222E+13,3.6222E+13,3.6222E+13,Buku,"Sistem informasi akuntansi,",Fokus pada konsep sistem informasi akuntansi modern untuk mendukung pengambilan keputusan.,"Bodnar, George H.   \epengarang",1,"Salemba Empat, ",1996,200,"9,78007E+62",657,657,Accounting/Akuntansi,indonesia,akuntansi
54,3.62202E+13,3.62202E+13,3.62202E+13,Buku,Kasus pemeriksaan akuntansi PT Grafiti Press Internasional,Berisi studi kasus nyata dalam pemeriksaan laporan keuangan.,"Sugiarto, Bambang Hartadi",1,Andi Offset ; ,1993,200,"9,78007E+63",657,657,Accounting/Akuntansi,indonesia,agribisnis itik
55,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Akuntansi pengantar,Buku pengantar yang menjelaskan konsep dasar akuntansi keuangan.,Suwardjono,1,"BPFE, ",1987,200,"9,78007E+64",657,657,Accounting/Akuntansi,indonesia,akuntansi
56,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Akuntansi keuangan  suatu pengantar,Membahas struktur laporan keuangan dan proses penyusunan laporan.,"Yujana, Lalu Hendry",1,"Fakultas Ekonomi Universitas Indonesia, ",1994,200,"9,78007E+65",657,657,Accounting/Akuntansi,indonesia,akuntansi
57,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Accounting principles ,Buku pegangan dasar mengenai prinsip akuntansi berstandar internasional.,"Weygandt, Jerry J.",1,"John Wiley & Sons,INC, ",1993,200,"9,78007E+66",657,657,Accounting/Akuntansi,english,akuntansi
58,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Akuntansi ekuitas ,Menjelaskan teori dan praktik pencatatan ekuitas dalam laporan keuangan.,"Setiabudi, Hendry Y.",1,"Salemba Empat, ",2002,200,"9,78007E+67",657,657,Accounting/Akuntansi,indonesia,akuntansi
59,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Essentials of accounting  ,Panduan ringkas untuk memahami akuntansi secara praktis.,"Anthony,Robert N.",1,"Addison-Wesley Publishing Company, ",1993,200,"9,78007E+68",657,657,Accounting/Akuntansi,inggris,akuntansi
60,3.62202E+13,3.62202E+13,3.62202E+13,Buku,Principles of accounting,Buku rujukan dasar mengenai prinsip akuntansi umum.,Glenn L. Johnson and James A. Gentry.,1,"Prentice-Hall, ",1974,200,"9,78007E+69",657,657,Accounting/Akuntansi,indonesia,aeronautical anual
61,3.62202E+13,3.62202E+13,3.62202E+13,Buku,Azas-azas Accounting,Membahas prinsip akuntansi dengan pendekatan konseptual.,R. Soemita Adikoesoemah.,1,"Accounting Publishing House, ",1986,200,"9,78007E+70",657,657,Accounting/Akuntansi,indonesia,aquaculture
62,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Prinsip-prinsip akuntansi,Buku teks dasar akuntansi yang sering digunakan dalam pendidikan formal.,"Niswonger,   C. Rollin",1,Erlangga ,1984,200,"9,78007E+71",657,657,Accounting/Akuntansi,indonesia,akuntansi
63,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Introduction to financial accounting,Memperkenalkan akuntansi keuangan dengan penekanan pada laporan eksternal.,"Horngren, Charles T.",1,"Prentice Hall, ",1999,200,"9,78007E+72",657,657,Accounting/Akuntansi,inggris,akuntansi
64,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Financial accounting ,Buku lanjutan yang membahas pelaporan dan analisis laporan keuangan.,"Meigs, Walter B.",1,"McGraw-Hill Book Company, ",1986,200,"9,78007E+73",657,657,Accounting/Akuntansi,english,akuntansi
65,3.62202E+13,3.62202E+13,3.62202E+13,Buku,Introductioan to financial accounting ,Versi pengantar akuntansi keuangan untuk mahasiswa dan praktisi pemula.,"Horngren, Charles T.",1,"Prentice Hall, ",1993,200,"9,78007E+74",657,657,Accounting/Akuntansi,indonesia,akuntansi
66,3.6222E+13,3.6222E+13,3.6222E+13,Buku,"Pemeriksaan akuntan,  ",Membahas prosedur dan teknik pemeriksaan laporan keuangan oleh auditor.,Mulyadi,1,"Bagian penerbit Sekolah Tinggi Ilmu ekonomi (YKPN), ",1992,200,"9,78007E+75",657,657,Accounting/Akuntansi,indonesia,akuntansi
67,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Prentice hall`s guide to e-business for accounting,Mengulas penerapan e-business dalam dunia akuntansi modern.,Marian B. Wood,1,"Prentice Hall, ",2002,300,"9,78007E+76",657,657,Accounting/Akuntansi,inggris,accounting
68,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Advanced accounting  ,Menyajikan pembahasan akuntansi tingkat lanjut dengan studi kasus perusahaan besar.,"Beams, Floyd A.",1,"Prentice Hall International, Inc. ; ",1992,300,"9,78007E+77",657,657,Accounting/Akuntansi,ingggris,akuntansi
69,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Introduction to accounting    an integrated approach  ,Pendekatan integratif untuk memahami dasar-dasar akuntansi.,"Ainsworth,Penne",1,"Irwin McGraw-Hill, ",2009,300,"9,78007E+78",657,657,Accounting/Akuntansi,inggris,akuntansi
70,3.62202E+13,3.62202E+13,3.62202E+13,Buku,Cost Occounting A Managerial emphasis,Membahas akuntansi biaya dengan fokus pada pengambilan keputusan manajerial.,Charles T. Horngren and George faster.,1,"prcntice-Hall , ",1987,300,"9,78007E+79",657,657,Accounting/Akuntansi,indonesia,asam
71,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Kunci penyelesaian soal prinsip-prinsip akuntansi,",Buku latihan soal beserta penyelesaian untuk prinsip akuntansi.,"Niswonger,C. Rollin  ; Alih Bahasa : Herman Wibowo, Suryadi Saat",3,"Erlangga, ",1997,300,"9,78007E+80",657,657,Accounting/Akuntansi,indonesia,akuntansi
72,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Accounts demystified  ,Penjelasan sederhana mengenai konsep akuntansi bagi pembelajar non-akuntansi.,Anthony Rice,3,"Prentice Hall, ",2000,300,"9,78007E+81",657,657,Accounting/Akuntansi,inggris,akuntasi perusahaan
73,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Schaum's outline of theory and problems of principles of accounting ,Panduan belajar akuntansi dengan soal latihan dan penjelasan ringkas.,"Lerner, Joel J.",3,"McGraw-Hill, ",1994,300,"9,78007E+82",657,657,Accounting/Akuntansi,inggris,accounting
74,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Principles of accounting for non-accounting professionals,",Prinsip dasar akuntansi yang dirancang khusus untuk non-akuntan.,"Man, Lee Tat",3,"Prentice Hall, ",1998,300,"9,78007E+83",657,657,Accounting/Akuntansi,inggris,akuntansi
75,3.6222E+13,3.6222E+13,3.6222E+13,Buku,"Accounting principles,  ",Buku pengantar akuntansi berfokus pada standar internasional.,"Thacker, Ronald J.",3,"Prentice Hall, Inc. ; ",1978,300,"9,78007E+84",657,657,Accounting/Akuntansi,english,akuntansi
76,3.62202E+13,3.62202E+13,3.62202E+13,Buku,Understand accounting fast,Panduan cepat memahami dasar akuntansi.,Robert C. Peterson.,3,"McGraw Hill, Inc. ; ",1976,300,"9,78007E+85",657,657,Accounting/Akuntansi,indonesia,ansi computer angineers 
77,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Teori akuntansi   ,Membahas teori-teori akuntansi yang menjadi dasar praktik keuangan.,"Harahap, Sofyan Syafri",3,"Raja Grafindo Persada, ",2008,300,"9,78007E+86",657,657,Accounting/Akuntansi,indonesia,akuntansi
78,3.62202E+13,3.62202E+13,3.62202E+13,Buku,"Accounting    the basis for business decicions, ",Menjelaskan peran akuntansi dalam pengambilan keputusan bisnis.,Walter B. Meigs and Robert F. Meigs.,3,"McGraw-Hill, ",1984,300,"9,78007E+87",657,657,Accounting/Akuntansi,indonesia,akuntansi
79,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Financial accounting,  ",Buku akuntansi keuangan dengan penekanan pada laporan eksternal.,"Melville, Alan",3,"Financial Times-Prentice Hall, ",1999,300,"9,78007E+88",657,657,Accounting/Akuntansi,inggris,akuntansi
80,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Akuntansi internasional, Buku satu,",Menjelaskan praktik akuntansi dalam konteks bisnis internasional.,"Choi, Frederick D.S.  \epengarang",3,"Salemba Empat, ",1998,300,"9,78007E+89",657,657,Accounting/Akuntansi,indonesia,akuntansi
81,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Akuntansi keuangan lanjutan,  ",Membahas akuntansi tingkat lanjut dengan contoh kasus nyata.,"Yunus, Hadori",3,BPFE ,2000,300,"9,78007E+90",657,657,Accounting/Akuntansi,indonesia,keuanganaakuntansi
82,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Sistem akuntansi  ,Fokus pada rancangan dan prosedur sistem pencatatan akuntansi.,Mulyadi,3,"Salemba Empat, ",2001,300,"9,78007E+91",657,657,Accounting/Akuntansi,indonesia,akuntansi
83,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Accounting and performance measurement issues in the private and public sectors  ,Mengulas peran akuntansi dalam pengukuran kinerja publik dan privat.,"Mitchell,Falconer",3,"Paul Chapman Publishing, ",1996,300,"9,78007E+92",657,657,Accounting/Akuntansi,inggris,akuntansi
84,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Accounting for the modern office  ,Membahas penerapan akuntansi dalam konteks perkantoran modern,"Palmer,Charles E.",3,"McGraw-Hill, ",1985,300,"9,78007E+93",657,657,Accounting/Akuntansi,inggris,accounting
85,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Accounting theory    a conceptual and institutional approach  ,Mengupas teori akuntansi dengan pendekatan konseptual dan kelembagaan.,"Wolk, Harry I.",3,"South-Western College Publishing, ",2000,300,"9,78007E+94",657,657,Accounting/Akuntansi,inggris,akuntansi
86,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Accounting theory, ",Buku teori akuntansi edisi ke-4 dengan penekanan pada standar baru.,"Riahi,Ahmed",3,"Thomson Learning, ",2000,300,"9,78007E+95",657,657,Accounting/Akuntansi,inggris,accounting
87,3.62201E+13,3.62201E+13,3.62201E+13,Buku,Mengenal profesi akuntan dan memahami laporannya  ,Memberikan wawasan tentang profesi akuntan dan laporan keuangan.,"Regar,Moenaf H.",3,"Bumi Aksara, ",1993,300,"9,78007E+96",657,657,Accounting/Akuntansi,indonesia,profesi akuntansi
88,3.62202E+13,3.62202E+13,3.62202E+13,Buku,Dasar dasar akuntansi  ,Buku pengantar akuntansi dasar untuk pelajar dan mahasiswa.,"Hadibroto, S.",3,"Pustaka LP3ES, ",1994,300,"9,78007E+97",657,657,Accounting/Akuntansi,indonesia,akuntansi
89,3.6221E+13,3.6221E+13,3.6221E+13,Buku,"Sistem akunting dan informasi,  ",Menjelaskan hubungan antara sistem akuntansi dan informasi.,"Wilkinson, Joseph W., 1960-   \epengarang",3,"Binarupa Aksara, ",1993.,300,"9,78007E+98",657,657,Accounting/Akuntansi,indonesia,akuntansi
90,3.6222E+13,3.6222E+13,3.6222E+13,Buku,Sistem akuntansi ,Buku lanjutan mengenai prosedur sistem akuntansi.,Mulyadi,3,"Salemba Empat,  ",1997,300,"9,78007E+99",657,657,Accounting/Akuntansi,indonesia,akuntansi
91,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Accounting theory    conceptual issues in a political and economic environment  ,Mengkaji isu-isu konseptual akuntansi dalam konteks politik dan ekonomi.,"Wolk, Harry I.",3,"Thomson, ",2004,300,"9,78007E+100",657,657,Accounting/Akuntansi,inggris,akuntansi
92,3.62202E+13,3.62202E+13,3.62202E+13,Buku,The portable MBA keuangan dan akunting  ,Buku panduan manajemen keuangan dan akuntansi bergaya MBA.,"Livingstone, John Leslie",3,"Binarupa, ",1994,300,"9,78007E+101",657,657,Accounting/Akuntansi,indonesia,akuntansi
93,3.6221E+13,3.6221E+13,3.6221E+13,Buku,Prinsip-prinsip akuntansi  ,Menyajikan prinsip akuntansi dasar untuk pemula dan profesional.,C. Rollin Niswonger ,3,garuda indonesia,2000,300,"9,78007E+102",657,657,Accounting/Akuntansi,indonesia,akuntansi ujian soal dsb
